Country,Obesity Rate,Male Obesity Rate,Female Obesity Rate
Czechia,31.3%,34.4%,28.3%
Syria,31.2%,24.2%,38%
Lebanon,31.1%,28.9%,33%
Lithuania,31.1%,29.9%,32.2%
Ireland,30.8%,32.4%,29.3%
North Macedonia,30.6%,30.4%,30.9%
Grenada,30.5%,18.7%,42.1%
Slovakia,30.3%,33.1%,27.6%
Seychelles,30.3%,20.7%,41.1%
Oman,30.2%,25.6%,38.7%
South Africa,30%,12.8%,45.7%
El Salvador,29.9%,22%,36.6%
Latvia,29.8%,27.8%,31.6%
Ukraine,29.2%,23.3%,33.9%
Trinidad and Tobago,29.2%,23.1%,34.9%
Dominican Republic,29.1%,23.1%,35.1%
Suriname,29%,19.2%,38.5%
Brazil,28.8%,24.8%,32.5%
United Kingdom,28.7%,28.2%,29.2%
Uzbekistan,28.5%,25.4%,31.6%
Honduras,28.5%,22.3%,34.8%
Tunisia,28.3%,19.9%,36.1%
Greenland,28.2%,25.3%,31.4%
Russia,28%,25.5%,30.2%
Guyana,28%,17.4%,37.8%
Armenia,27.9%,20%,33.7%
Bolivia,27.8%,22.4%,33.1%
Azerbaijan,27.5%,19.5%,34.9%
Canada,27.3%,28.7%,25.9%
Eswatini,27.3%,13.1%,41%
Peru,27.2%,22.9%,31.3%
Portugal,27.1%,25%,28.8%
Ecuador,27%,21.9%,31.9%
Estonia,26.7%,25.2%,28%
Belarus,26.6%,22.2%,30.1%
Albania,26.6%,23.3%,29.8%
Serbia,26.1%,28%,24.3%
Moldova,25.6%,22.4%,28.5%
Bosnia and Herzegovina,25.5%,24.6%,26.3%
Iran,25.3%,18.4%,32.2%
Guatemala,25.2%,20.7%,29.5%
Cyprus,25.1%,27.1%,23.2%
Kyrgyzstan,24.4%,22.1%,26.5%
Germany,24.2%,25.7%,22.7%
Algeria,24.2%,15.8%,32.9%
Bulgaria,24.2%,26.4%,22.3%
Mongolia,24%,21.4%,26.4%
Colombia,23.9%,18%,20.4%
Finland,23.7%,22.8%,24.6%
Cuba,23.5%,19.7%,27.3%
Israel,23.4%,23.5%,23.2%
Venezuela,22.8%,20.2%,25.3%
Iceland,22.6%,24.5%,20.6%
Malaysia,22.4%,17.9%,27.1%
Slovenia,22.2%,27.5%,16.9%
Morocco,22.1%,13.4%,30.8%
Belgium,22%,21.3%,22.7%
Pakistan,21.8%,19.1%,24.5%
Italy,21.6%,20.1%,22.9%
Solomon Islands,21.6%,16.5%,26.9%
Montenegro,21.1%,22.7%,19.5%
Tajikistan,20.8%,17.9%,23.6%
Mauritania,20.8%,7.8%,32.7%
Andorra,20.5%,22.7%,18.2%
Turkmenistan,20.2%,17.3%,22.9%
Luxembourg,20.2%,22.3%,18.1%
Papua New Guinea,20.1%,15.4%,25.1%
Gabon,20%,10.3%,30.2%
Vanuatu,19.9%,15.1%,24.7%
Norway,19.8%,21.1%,18.5%
Mauritius,19.5%,13%,25.6%
Kazakhstan,19.3%,18.5%,20.1%
Lesotho,19.3%,7.4%,30.7%
Spain,19.2%,21.7%,16.8%
Afghanistan,17.6%,13.4%,21.8%
Maldives,17.6%,13.2%,23.9%
Botswana,17.5%,7.9%,26.5%
Equatorial Guinea,17.2%,7.3%,29%
Austria,17%,20%,14.3%
Netherlands,16.9%,16.8%,17.1%
Sweden,16.4%,17.6%,15.2%
Liberia,16.2%,12.5%,19.8%
Sudan,15.5%,10.4%,20.4%
Comoros,15.5%,7.5%,23.5%
Namibia,15.3%,8.7%,21.2%
Cape Verde,15.1%,7.8%,22.2%
Sao Tome and Principe,15%,8.7%,21.3%
Thailand,14.5%,11.2%,17.5%
Denmark,14.3%,16.7%,12%
Switzerland,13.7%,16.6%,10.9%
Singapore,13.5%,15.2%,11.7%
Cameroon,13.4%,7.7%,18.9%
Gambia,13.2%,8.5%,17.8%
Somalia,12.7%,4.9%,20.3%
Zimbabwe,12.4%,4.5%,18.9%
Ghana,12.1%,4.7%,19.3%
Bhutan,12%,9%,15.4%
Yemen,11.6%,8.9%,14.2%
Indonesia,11.5%,6.6%,16.4%
Tanzania,11.4%,5.6%,16.8%
Kenya,11%,5%,16.9%
France,10.9%,11.4%,10.5%
North Korea,10.9%,8.5%,13.1%
Djibouti,10.9%,5.7%,15.8%
Nigeria,10.8%,7.1%,14.6%
Sri Lanka,10.8%,6.6%,14.2%
Ivory Coast,10.6%,7%,14.3%
Angola,10.5%,5.4%,15.4%
Togo,10.4%,5%,15.9%
Haiti,10.2%,6.2%,14.1%
Guinea-Bissau,10.1%,6.6%,13.3%
Mali,10%,8.6%,11.4%
Benin,9.9%,6.3%,13.4%
Zambia,9.4%,4.1%,14.4%
Mozambique,8.8%,5.3%,12%
Philippines,8.7%,7.3%,10.2%
Senegal,8.7%,3.4%,13.5%
Guinea,8.3%,4.8%,11.5%
China,8.2%,8.5%,7.9%
Republic of the Congo,8%,3.7%,12.1%
Laos,7.8%,5.7%,9.8%
Central African Republic,7.7%,4.9%,10.3%
Myanmar,7.5%,5.5%,9.6%
India,7.2%,5.2%,9.3%
Uganda,6.9%,3.6%,10%
South Korea,6.7%,7.7%,5.7%
Nepal,6.6%,4.5%,8.4%
Sierra Leone,6.5%,2.3%,10.6%
Malawi,6.4%,2.3%,10%
Burkina Faso,6.1%,3.5%,8.6%
DR Congo,5.8%,3.5%,7.9%
Chad,5.7%,6.2%,5.3%
Bangladesh,5.3%,2.9%,7.6%
Niger,5.3%,4%,6.7%
Japan,4.9%,6.3%,3.7%
Rwanda,4.6%,1.4%,7.5%
Burundi,4.5%,5.3%,3.8%
Cambodia,4.4%,3.1%,5.6%
Eritrea,4.2%,2.5%,5.8%
Madagascar,3.8%,4%,3.7%
Ethiopia,2.4%,0.9%,3.9%
Timor-Leste,2.2%,1.6%,2.9%
Vietnam,2.1%,2%,2.2%
