name,average_price,item_name
Alderney,2.13,"Fresh White Bread (500 g Loaf), Markets"
Alderney,4.48,"Eggs (12, Large Size), Markets"
Alderney,10.66,"Local Cheese (1 kg), Markets"
Alderney,1.47,"Bottled Water (1.5 Liter), Markets"
Alderney,15.99,"Bottle of Wine (Mid-Range), Markets"
Alderney,23.99,"Chicken Fillets (1 kg), Markets"
Alderney,4.8,"Apples (1 kg), Markets"
Alderney,5.33,"Oranges (1 kg), Markets"
Alderney,1.33,"Potatoes (1 kg), Markets"
Alderney,2.67,"Lettuce (1 Head), Markets"
Alderney,3.5,"Cappuccino (Regular Size), Restaurants"
Alderney,2.4,"White Rice (1 kg), Markets"
Alderney,3.2,"Tomatoes (1 kg), Markets"
Alderney,3.46,"Bananas (1 kg), Markets"
Alderney,4.26,"Onions (1 kg), Markets"
Alderney,33.32,"Beef Round or Equivalent Back Leg Red Meat (1 kg), Markets"
Algeria,2.74,"Meal at an Inexpensive Restaurant, Restaurants"
Algeria,23.29,"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks), Restaurants"
Algeria,3.97,"Combo Meal at McDonald's (or Equivalent Fast-Food Meal), Restaurants"
Algeria,1.48,"Domestic Draft Beer (0.5 Liter), Restaurants"
Algeria,2.33,"Imported Beer (0.33 Liter Bottle), Restaurants"
Algeria,0.59,"Soft Drink (Coca-Cola or Pepsi, 0.33 Liter Bottle), Restaurants"
Algeria,0.24,"Bottled Water (0.33 Liter), Restaurants"
Algeria,0.97,"Milk (Regular, 1 Liter), Markets"
Algeria,0.17,"Fresh White Bread (500 g Loaf), Markets"
Algeria,1.76,"Eggs (12, Large Size), Markets"
Algeria,8.9,"Local Cheese (1 kg), Markets"
Algeria,0.32,"Bottled Water (1.5 Liter), Markets"
Algeria,9.44,"Bottle of Wine (Mid-Range), Markets"
Algeria,1.61,"Domestic Beer (0.5 Liter Bottle), Markets"
Algeria,2.04,"Imported Beer (0.33 Liter Bottle), Markets"
Algeria,2.79,"Cigarettes (Pack of 20, Marlboro), Markets"
Algeria,4.73,"Chicken Fillets (1 kg), Markets"
Algeria,3.17,"Apples (1 kg), Markets"
Algeria,1.68,"Oranges (1 kg), Markets"
Algeria,0.6,"Potatoes (1 kg), Markets"
Algeria,0.63,"Lettuce (1 Head), Markets"
Algeria,0.8,"Cappuccino (Regular Size), Restaurants"
Algeria,1.46,"White Rice (1 kg), Markets"
Algeria,0.82,"Tomatoes (1 kg), Markets"
Algeria,3.12,"Bananas (1 kg), Markets"
Algeria,0.53,"Onions (1 kg), Markets"
Algeria,16.07,"Beef Round or Equivalent Back Leg Red Meat (1 kg), Markets"
American Samoa,25,"Meal at an Inexpensive Restaurant, Restaurants"
American Samoa,6.99,"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks), Restaurants"
American Samoa,2,"Domestic Draft Beer (0.5 Liter), Restaurants"
American Samoa,2,"Imported Beer (0.33 Liter Bottle), Restaurants"
American Samoa,1.25,"Soft Drink (Coca-Cola or Pepsi, 0.33 Liter Bottle), Restaurants"
American Samoa,2.55,"Milk (Regular, 1 Liter), Markets"
American Samoa,2.89,"Fresh White Bread (500 g Loaf), Markets"
American Samoa,4.5,"Eggs (12, Large Size), Markets"
American Samoa,10.2,"Local Cheese (1 kg), Markets"
American Samoa,15,"Bottle of Wine (Mid-Range), Markets"
American Samoa,2.95,"Imported Beer (0.33 Liter Bottle), Markets"
American Samoa,11.5,"Cigarettes (Pack of 20, Marlboro), Markets"
American Samoa,1,"Cappuccino (Regular Size), Restaurants"
American Samoa,4.3,"White Rice (1 kg), Markets"
American Samoa,11.35,"Beef Round or Equivalent Back Leg Red Meat (1 kg), Markets"
Andorra,17.47,"Meal at an Inexpensive Restaurant, Restaurants"
Andorra,52.4,"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks), Restaurants"
Andorra,12.81,"Combo Meal at McDonald's (or Equivalent Fast-Food Meal), Restaurants"
Andorra,3.49,"Domestic Draft Beer (0.5 Liter), Restaurants"
Andorra,4.37,"Imported Beer (0.33 Liter Bottle), Restaurants"
Andorra,2.52,"Soft Drink (Coca-Cola or Pepsi, 0.33 Liter Bottle), Restaurants"
Andorra,1.83,"Bottled Water (0.33 Liter), Restaurants"
Andorra,1.29,"Milk (Regular, 1 Liter), Markets"
Andorra,1.4,"Fresh White Bread (500 g Loaf), Markets"
Andorra,2.37,"Eggs (12, Large Size), Markets"
Andorra,14.28,"Local Cheese (1 kg), Markets"
Andorra,0.84,"Bottled Water (1.5 Liter), Markets"
Andorra,5.82,"Bottle of Wine (Mid-Range), Markets"
Andorra,1.38,"Domestic Beer (0.5 Liter Bottle), Markets"
Andorra,1.31,"Imported Beer (0.33 Liter Bottle), Markets"
Andorra,5.71,"Cigarettes (Pack of 20, Marlboro), Markets"
Andorra,10.65,"Chicken Fillets (1 kg), Markets"
Andorra,2.79,"Apples (1 kg), Markets"
Andorra,2.03,"Oranges (1 kg), Markets"
Andorra,2.08,"Potatoes (1 kg), Markets"
Andorra,1.59,"Lettuce (1 Head), Markets"
Andorra,2.69,"Cappuccino (Regular Size), Restaurants"
Andorra,2.21,"White Rice (1 kg), Markets"
Andorra,3.3,"Tomatoes (1 kg), Markets"
Andorra,2.61,"Bananas (1 kg), Markets"
Andorra,2.11,"Onions (1 kg), Markets"
Andorra,14.1,"Beef Round or Equivalent Back Leg Red Meat (1 kg), Markets"
Angola,5.95,"Meal at an Inexpensive Restaurant, Restaurants"
Angola,40.97,"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks), Restaurants"
Angola,8,"Combo Meal at McDonald's (or Equivalent Fast-Food Meal), Restaurants"
Angola,1.81,"Domestic Draft Beer (0.5 Liter), Restaurants"
Angola,1.76,"Imported Beer (0.33 Liter Bottle), Restaurants"
Angola,1.41,"Soft Drink (Coca-Cola or Pepsi, 0.33 Liter Bottle), Restaurants"
Angola,1.24,"Bottled Water (0.33 Liter), Restaurants"
Angola,1.95,"Milk (Regular, 1 Liter), Markets"
Angola,1.18,"Fresh White Bread (500 g Loaf), Markets"
Angola,2.16,"Eggs (12, Large Size), Markets"
Angola,12.49,"Local Cheese (1 kg), Markets"
Angola,0.44,"Bottled Water (1.5 Liter), Markets"
Angola,7.74,"Bottle of Wine (Mid-Range), Markets"
Angola,0.58,"Domestic Beer (0.5 Liter Bottle), Markets"
Angola,1.29,"Imported Beer (0.33 Liter Bottle), Markets"
Angola,2.38,"Cigarettes (Pack of 20, Marlboro), Markets"
Angola,4.39,"Chicken Fillets (1 kg), Markets"
Angola,2.43,"Apples (1 kg), Markets"
Angola,3.05,"Oranges (1 kg), Markets"
Angola,1.79,"Potatoes (1 kg), Markets"
Angola,1.99,"Lettuce (1 Head), Markets"
Angola,3.64,"Cappuccino (Regular Size), Restaurants"
Angola,1.41,"White Rice (1 kg), Markets"
Angola,2.08,"Tomatoes (1 kg), Markets"
Angola,1.16,"Bananas (1 kg), Markets"
Angola,1.56,"Onions (1 kg), Markets"
Angola,9.07,"Beef Round or Equivalent Back Leg Red Meat (1 kg), Markets"
Anguilla,20,"Meal at an Inexpensive Restaurant, Restaurants"
Anguilla,140,"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks), Restaurants"
Anguilla,16,"Combo Meal at McDonald's (or Equivalent Fast-Food Meal), Restaurants"
Anguilla,5,"Domestic Draft Beer (0.5 Liter), Restaurants"
Anguilla,6,"Imported Beer (0.33 Liter Bottle), Restaurants"
Anguilla,3.33,"Soft Drink (Coca-Cola or Pepsi, 0.33 Liter Bottle), Restaurants"
Anguilla,4,"Bottled Water (0.33 Liter), Restaurants"
Anguilla,2.23,"Milk (Regular, 1 Liter), Markets"
Anguilla,3.31,"Fresh White Bread (500 g Loaf), Markets"
Anguilla,4.8,"Eggs (12, Large Size), Markets"
Anguilla,22.05,"Local Cheese (1 kg), Markets"
Anguilla,3,"Bottled Water (1.5 Liter), Markets"
Anguilla,23,"Bottle of Wine (Mid-Range), Markets"
Anguilla,10,"Cigarettes (Pack of 20, Marlboro), Markets"
Anguilla,13.06,"Chicken Fillets (1 kg), Markets"
Anguilla,5,"Apples (1 kg), Markets"
Anguilla,4,"Oranges (1 kg), Markets"
Anguilla,4,"Potatoes (1 kg), Markets"
Anguilla,4,"Lettuce (1 Head), Markets"
Anguilla,5,"Cappuccino (Regular Size), Restaurants"
Anguilla,4,"White Rice (1 kg), Markets"
Anguilla,5,"Tomatoes (1 kg), Markets"
Anguilla,3,"Bananas (1 kg), Markets"
Anguilla,4,"Onions (1 kg), Markets"
Anguilla,25,"Beef Round or Equivalent Back Leg Red Meat (1 kg), Markets"
Antigua And Barbuda,9.25,"Meal at an Inexpensive Restaurant, Restaurants"
Antigua And Barbuda,74,"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks), Restaurants"
Antigua And Barbuda,9.25,"Combo Meal at McDonald's (or Equivalent Fast-Food Meal), Restaurants"
Antigua And Barbuda,3.7,"Domestic Draft Beer (0.5 Liter), Restaurants"
Antigua And Barbuda,4.44,"Imported Beer (0.33 Liter Bottle), Restaurants"
Antigua And Barbuda,2.2,"Soft Drink (Coca-Cola or Pepsi, 0.33 Liter Bottle), Restaurants"
Antigua And Barbuda,1.18,"Bottled Water (0.33 Liter), Restaurants"
Antigua And Barbuda,2.96,"Milk (Regular, 1 Liter), Markets"
Antigua And Barbuda,2.78,"Fresh White Bread (500 g Loaf), Markets"
Antigua And Barbuda,7.55,"Eggs (12, Large Size), Markets"
Antigua And Barbuda,8.91,"Local Cheese (1 kg), Markets"
Antigua And Barbuda,1.67,"Bottled Water (1.5 Liter), Markets"
Antigua And Barbuda,11.84,"Bottle of Wine (Mid-Range), Markets"
Antigua And Barbuda,2.75,"Domestic Beer (0.5 Liter Bottle), Markets"
Antigua And Barbuda,3.21,"Imported Beer (0.33 Liter Bottle), Markets"
Antigua And Barbuda,7.4,"Cigarettes (Pack of 20, Marlboro), Markets"
Antigua And Barbuda,8.51,"Chicken Fillets (1 kg), Markets"
Antigua And Barbuda,6.74,"Apples (1 kg), Markets"
Antigua And Barbuda,10.5,"Oranges (1 kg), Markets"
Antigua And Barbuda,3.62,"Potatoes (1 kg), Markets"
Antigua And Barbuda,3.82,"Lettuce (1 Head), Markets"
Antigua And Barbuda,4.56,"Cappuccino (Regular Size), Restaurants"
Antigua And Barbuda,3.95,"White Rice (1 kg), Markets"
Antigua And Barbuda,6.42,"Tomatoes (1 kg), Markets"
Antigua And Barbuda,3.9,"Bananas (1 kg), Markets"
Antigua And Barbuda,2.65,"Onions (1 kg), Markets"
Antigua And Barbuda,28.72,"Beef Round or Equivalent Back Leg Red Meat (1 kg), Markets"
Argentina,12,"Meal at an Inexpensive Restaurant, Restaurants"
Argentina,50,"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks), Restaurants"
Argentina,11,"Combo Meal at McDonald's (or Equivalent Fast-Food Meal), Restaurants"
Argentina,3,"Domestic Draft Beer (0.5 Liter), Restaurants"
Argentina,3.5,"Imported Beer (0.33 Liter Bottle), Restaurants"
Argentina,1.94,"Soft Drink (Coca-Cola or Pepsi, 0.33 Liter Bottle), Restaurants"
Argentina,1.42,"Bottled Water (0.33 Liter), Restaurants"
Argentina,1.39,"Milk (Regular, 1 Liter), Markets"
Argentina,2.15,"Fresh White Bread (500 g Loaf), Markets"
Argentina,2.77,"Eggs (12, Large Size), Markets"
Argentina,10.07,"Local Cheese (1 kg), Markets"
Argentina,1.53,"Bottled Water (1.5 Liter), Markets"
Argentina,5,"Bottle of Wine (Mid-Range), Markets"
Argentina,1.9,"Domestic Beer (0.5 Liter Bottle), Markets"
Argentina,3.12,"Imported Beer (0.33 Liter Bottle), Markets"
Argentina,3.5,"Cigarettes (Pack of 20, Marlboro), Markets"
Argentina,7.09,"Chicken Fillets (1 kg), Markets"
Argentina,2.26,"Apples (1 kg), Markets"
Argentina,1.34,"Oranges (1 kg), Markets"
Argentina,1.23,"Potatoes (1 kg), Markets"
Argentina,1.74,"Lettuce (1 Head), Markets"
Argentina,3.42,"Cappuccino (Regular Size), Restaurants"
Argentina,2.06,"White Rice (1 kg), Markets"
Argentina,2.48,"Tomatoes (1 kg), Markets"
Argentina,2.09,"Bananas (1 kg), Markets"
Argentina,1.13,"Onions (1 kg), Markets"
Argentina,9.47,"Beef Round or Equivalent Back Leg Red Meat (1 kg), Markets"
Armenia,10.49,"Meal at an Inexpensive Restaurant, Restaurants"
Armenia,47.21,"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks), Restaurants"
Armenia,7.93,"Combo Meal at McDonald's (or Equivalent Fast-Food Meal), Restaurants"
Armenia,1.98,"Domestic Draft Beer (0.5 Liter), Restaurants"
Armenia,3.15,"Imported Beer (0.33 Liter Bottle), Restaurants"
Armenia,0.93,"Soft Drink (Coca-Cola or Pepsi, 0.33 Liter Bottle), Restaurants"
Armenia,0.49,"Bottled Water (0.33 Liter), Restaurants"
Armenia,1.56,"Milk (Regular, 1 Liter), Markets"
Armenia,0.81,"Fresh White Bread (500 g Loaf), Markets"
Armenia,2.25,"Eggs (12, Large Size), Markets"
Armenia,7.71,"Local Cheese (1 kg), Markets"
Armenia,0.69,"Bottled Water (1.5 Liter), Markets"
Armenia,10.49,"Bottle of Wine (Mid-Range), Markets"
Armenia,1.36,"Domestic Beer (0.5 Liter Bottle), Markets"
Armenia,2.16,"Imported Beer (0.33 Liter Bottle), Markets"
Armenia,2.62,"Cigarettes (Pack of 20, Marlboro), Markets"
Armenia,7.53,"Chicken Fillets (1 kg), Markets"
Armenia,1.3,"Apples (1 kg), Markets"
Armenia,1.77,"Oranges (1 kg), Markets"
Armenia,0.78,"Potatoes (1 kg), Markets"
Armenia,0.94,"Lettuce (1 Head), Markets"
Armenia,3.11,"Cappuccino (Regular Size), Restaurants"
Armenia,2.29,"White Rice (1 kg), Markets"
Armenia,2.11,"Tomatoes (1 kg), Markets"
Armenia,1.67,"Bananas (1 kg), Markets"
Armenia,0.74,"Onions (1 kg), Markets"
Armenia,12.01,"Beef Round or Equivalent Back Leg Red Meat (1 kg), Markets"
Aruba,16.82,"Meal at an Inexpensive Restaurant, Restaurants"
Aruba,90,"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks), Restaurants"
Aruba,10,"Combo Meal at McDonald's (or Equivalent Fast-Food Meal), Restaurants"
Aruba,5,"Domestic Draft Beer (0.5 Liter), Restaurants"
Aruba,7,"Imported Beer (0.33 Liter Bottle), Restaurants"
Aruba,2.07,"Soft Drink (Coca-Cola or Pepsi, 0.33 Liter Bottle), Restaurants"
Aruba,1.74,"Bottled Water (0.33 Liter), Restaurants"
Aruba,1.96,"Milk (Regular, 1 Liter), Markets"
Aruba,2.96,"Fresh White Bread (500 g Loaf), Markets"
Aruba,5.14,"Eggs (12, Large Size), Markets"
Aruba,12.88,"Local Cheese (1 kg), Markets"
Aruba,2.24,"Bottled Water (1.5 Liter), Markets"
Aruba,10,"Bottle of Wine (Mid-Range), Markets"
Aruba,4.54,"Domestic Beer (0.5 Liter Bottle), Markets"
Aruba,4.61,"Imported Beer (0.33 Liter Bottle), Markets"
Aruba,10.26,"Cigarettes (Pack of 20, Marlboro), Markets"
Aruba,7.76,"Chicken Fillets (1 kg), Markets"
Aruba,4.77,"Apples (1 kg), Markets"
Aruba,6.58,"Oranges (1 kg), Markets"
Aruba,2.81,"Potatoes (1 kg), Markets"
Aruba,3.67,"Lettuce (1 Head), Markets"
Aruba,4.75,"Cappuccino (Regular Size), Restaurants"
Aruba,3.32,"White Rice (1 kg), Markets"
Aruba,5.81,"Tomatoes (1 kg), Markets"
Aruba,2.62,"Bananas (1 kg), Markets"
Aruba,2.59,"Onions (1 kg), Markets"
Aruba,11.54,"Beef Round or Equivalent Back Leg Red Meat (1 kg), Markets"
Australia,16.52,"Meal at an Inexpensive Restaurant, Restaurants"
Australia,79.3,"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks), Restaurants"
Australia,9.91,"Combo Meal at McDonald's (or Equivalent Fast-Food Meal), Restaurants"
Australia,6.61,"Domestic Draft Beer (0.5 Liter), Restaurants"
Australia,7.27,"Imported Beer (0.33 Liter Bottle), Restaurants"
Australia,2.68,"Soft Drink (Coca-Cola or Pepsi, 0.33 Liter Bottle), Restaurants"
Australia,2.21,"Bottled Water (0.33 Liter), Restaurants"
Australia,1.62,"Milk (Regular, 1 Liter), Markets"
Australia,2.55,"Fresh White Bread (500 g Loaf), Markets"
Australia,4.63,"Eggs (12, Large Size), Markets"
Australia,9.14,"Local Cheese (1 kg), Markets"
Australia,1.58,"Bottled Water (1.5 Liter), Markets"
Australia,13.22,"Bottle of Wine (Mid-Range), Markets"
Australia,4.54,"Domestic Beer (0.5 Liter Bottle), Markets"
Australia,4.93,"Imported Beer (0.33 Liter Bottle), Markets"
Australia,33.04,"Cigarettes (Pack of 20, Marlboro), Markets"
Australia,8.57,"Chicken Fillets (1 kg), Markets"
Australia,3.28,"Apples (1 kg), Markets"
Australia,3,"Oranges (1 kg), Markets"
Australia,2.57,"Potatoes (1 kg), Markets"
Australia,2.31,"Lettuce (1 Head), Markets"
Australia,3.64,"Cappuccino (Regular Size), Restaurants"
Australia,2.06,"White Rice (1 kg), Markets"
Australia,4.57,"Tomatoes (1 kg), Markets"
Australia,2.81,"Bananas (1 kg), Markets"
Australia,2.2,"Onions (1 kg), Markets"
Australia,13.92,"Beef Round or Equivalent Back Leg Red Meat (1 kg), Markets"
Austria,17.47,"Meal at an Inexpensive Restaurant, Restaurants"
Austria,81.51,"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks), Restaurants"
Austria,12.81,"Combo Meal at McDonald's (or Equivalent Fast-Food Meal), Restaurants"
Austria,5.82,"Domestic Draft Beer (0.5 Liter), Restaurants"
Austria,5.24,"Imported Beer (0.33 Liter Bottle), Restaurants"
Austria,3.95,"Soft Drink (Coca-Cola or Pepsi, 0.33 Liter Bottle), Restaurants"
Austria,3.06,"Bottled Water (0.33 Liter), Restaurants"
Austria,1.73,"Milk (Regular, 1 Liter), Markets"
Austria,2.99,"Fresh White Bread (500 g Loaf), Markets"
Austria,4.8,"Eggs (12, Large Size), Markets"
Austria,20.5,"Local Cheese (1 kg), Markets"
Austria,0.93,"Bottled Water (1.5 Liter), Markets"
Austria,8.15,"Bottle of Wine (Mid-Range), Markets"
Austria,1.53,"Domestic Beer (0.5 Liter Bottle), Markets"
Austria,2.1,"Imported Beer (0.33 Liter Bottle), Markets"
Austria,7.57,"Cigarettes (Pack of 20, Marlboro), Markets"
Austria,14.94,"Chicken Fillets (1 kg), Markets"
Austria,3.08,"Apples (1 kg), Markets"
Austria,3.23,"Oranges (1 kg), Markets"
Austria,2.34,"Potatoes (1 kg), Markets"
Austria,2.01,"Lettuce (1 Head), Markets"
Austria,4.72,"Cappuccino (Regular Size), Restaurants"
Austria,2.65,"White Rice (1 kg), Markets"
Austria,4.59,"Tomatoes (1 kg), Markets"
Austria,2.48,"Bananas (1 kg), Markets"
Austria,2.16,"Onions (1 kg), Markets"
Austria,23.33,"Beef Round or Equivalent Back Leg Red Meat (1 kg), Markets"
Azerbaijan,8.82,"Meal at an Inexpensive Restaurant, Restaurants"
Azerbaijan,35.29,"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks), Restaurants"
Azerbaijan,7.65,"Combo Meal at McDonald's (or Equivalent Fast-Food Meal), Restaurants"
Azerbaijan,1.76,"Domestic Draft Beer (0.5 Liter), Restaurants"
Azerbaijan,2.94,"Imported Beer (0.33 Liter Bottle), Restaurants"
Azerbaijan,0.88,"Soft Drink (Coca-Cola or Pepsi, 0.33 Liter Bottle), Restaurants"
Azerbaijan,0.48,"Bottled Water (0.33 Liter), Restaurants"
Azerbaijan,1.41,"Milk (Regular, 1 Liter), Markets"
Azerbaijan,0.45,"Fresh White Bread (500 g Loaf), Markets"
Azerbaijan,1.5,"Eggs (12, Large Size), Markets"
Azerbaijan,4.49,"Local Cheese (1 kg), Markets"
Azerbaijan,0.6,"Bottled Water (1.5 Liter), Markets"
Azerbaijan,8.24,"Bottle of Wine (Mid-Range), Markets"
Azerbaijan,1.38,"Domestic Beer (0.5 Liter Bottle), Markets"
Azerbaijan,2.7,"Imported Beer (0.33 Liter Bottle), Markets"
Azerbaijan,3.53,"Cigarettes (Pack of 20, Marlboro), Markets"
Azerbaijan,4.63,"Chicken Fillets (1 kg), Markets"
Azerbaijan,1.14,"Apples (1 kg), Markets"
Azerbaijan,1.57,"Oranges (1 kg), Markets"
Azerbaijan,0.7,"Potatoes (1 kg), Markets"
Azerbaijan,0.45,"Lettuce (1 Head), Markets"
Azerbaijan,3.32,"Cappuccino (Regular Size), Restaurants"
Azerbaijan,2.05,"White Rice (1 kg), Markets"
Azerbaijan,1.6,"Tomatoes (1 kg), Markets"
Azerbaijan,1.74,"Bananas (1 kg), Markets"
Azerbaijan,0.54,"Onions (1 kg), Markets"
Azerbaijan,10.32,"Beef Round or Equivalent Back Leg Red Meat (1 kg), Markets"
Bahamas,30,"Meal at an Inexpensive Restaurant, Restaurants"
Bahamas,150,"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks), Restaurants"
Bahamas,12,"Combo Meal at McDonald's (or Equivalent Fast-Food Meal), Restaurants"
Bahamas,5,"Domestic Draft Beer (0.5 Liter), Restaurants"
Bahamas,8,"Imported Beer (0.33 Liter Bottle), Restaurants"
Bahamas,2.9,"Soft Drink (Coca-Cola or Pepsi, 0.33 Liter Bottle), Restaurants"
Bahamas,1.78,"Bottled Water (0.33 Liter), Restaurants"
Bahamas,4.21,"Milk (Regular, 1 Liter), Markets"
Bahamas,5.11,"Fresh White Bread (500 g Loaf), Markets"
Bahamas,8.36,"Eggs (12, Large Size), Markets"
