"","Country","average_price","item_name"
"90","Alderney",2.13,"Fresh White Bread (500 g Loaf), Markets"
"91","Alderney",4.48,"Eggs (12, Large Size), Markets"
"92","Alderney",10.66,"Local Cheese (1 kg), Markets"
"93","Alderney",1.47,"Bottled Water (1.5 Liter), Markets"
"94","Alderney",15.99,"Bottle of Wine (Mid-Range), Markets"
"95","Alderney",23.99,"Chicken Fillets (1 kg), Markets"
"96","Alderney",4.8,"Apples (1 kg), Markets"
"97","Alderney",5.33,"Oranges (1 kg), Markets"
"98","Alderney",1.33,"Potatoes (1 kg), Markets"
"99","Alderney",2.67,"Lettuce (1 Head), Markets"
"100","Alderney",3.5,"Cappuccino (Regular Size), Restaurants"
"101","Alderney",2.4,"White Rice (1 kg), Markets"
"102","Alderney",3.2,"Tomatoes (1 kg), Markets"
"103","Alderney",3.46,"Bananas (1 kg), Markets"
"104","Alderney",4.26,"Onions (1 kg), Markets"
"105","Alderney",33.32,"Beef Round or Equivalent Back Leg Red Meat (1 kg), Markets"
"106","Algeria",2.74,"Meal at an Inexpensive Restaurant, Restaurants"
"107","Algeria",23.29,"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks), Restaurants"
"108","Algeria",3.97,"Combo Meal at McDonald's (or Equivalent Fast-Food Meal), Restaurants"
"109","Algeria",1.48,"Domestic Draft Beer (0.5 Liter), Restaurants"
"110","Algeria",2.33,"Imported Beer (0.33 Liter Bottle), Restaurants"
"111","Algeria",0.59,"Soft Drink (Coca-Cola or Pepsi, 0.33 Liter Bottle), Restaurants"
"112","Algeria",0.24,"Bottled Water (0.33 Liter), Restaurants"
"113","Algeria",0.97,"Milk (Regular, 1 Liter), Markets"
"114","Algeria",0.17,"Fresh White Bread (500 g Loaf), Markets"
"115","Algeria",1.76,"Eggs (12, Large Size), Markets"
"116","Algeria",8.9,"Local Cheese (1 kg), Markets"
"117","Algeria",0.32,"Bottled Water (1.5 Liter), Markets"
"118","Algeria",9.44,"Bottle of Wine (Mid-Range), Markets"
"119","Algeria",1.61,"Domestic Beer (0.5 Liter Bottle), Markets"
"120","Algeria",2.04,"Imported Beer (0.33 Liter Bottle), Markets"
"121","Algeria",2.79,"Cigarettes (Pack of 20, Marlboro), Markets"
"122","Algeria",4.73,"Chicken Fillets (1 kg), Markets"
"123","Algeria",3.17,"Apples (1 kg), Markets"
"124","Algeria",1.68,"Oranges (1 kg), Markets"
"125","Algeria",0.6,"Potatoes (1 kg), Markets"
"126","Algeria",0.63,"Lettuce (1 Head), Markets"
"127","Algeria",0.8,"Cappuccino (Regular Size), Restaurants"
"128","Algeria",1.46,"White Rice (1 kg), Markets"
"129","Algeria",0.82,"Tomatoes (1 kg), Markets"
"130","Algeria",3.12,"Bananas (1 kg), Markets"
"131","Algeria",0.53,"Onions (1 kg), Markets"
"132","Algeria",16.07,"Beef Round or Equivalent Back Leg Red Meat (1 kg), Markets"
"133","American Samoa",25,"Meal at an Inexpensive Restaurant, Restaurants"
"134","American Samoa",6.99,"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks), Restaurants"
"135","American Samoa",2,"Domestic Draft Beer (0.5 Liter), Restaurants"
"136","American Samoa",2,"Imported Beer (0.33 Liter Bottle), Restaurants"
"137","American Samoa",1.25,"Soft Drink (Coca-Cola or Pepsi, 0.33 Liter Bottle), Restaurants"
"138","American Samoa",2.55,"Milk (Regular, 1 Liter), Markets"
"139","American Samoa",2.89,"Fresh White Bread (500 g Loaf), Markets"
"140","American Samoa",4.5,"Eggs (12, Large Size), Markets"
"141","American Samoa",10.2,"Local Cheese (1 kg), Markets"
"142","American Samoa",15,"Bottle of Wine (Mid-Range), Markets"
"143","American Samoa",2.95,"Imported Beer (0.33 Liter Bottle), Markets"
"144","American Samoa",11.5,"Cigarettes (Pack of 20, Marlboro), Markets"
"145","American Samoa",1,"Cappuccino (Regular Size), Restaurants"
"146","American Samoa",4.3,"White Rice (1 kg), Markets"
"147","American Samoa",11.35,"Beef Round or Equivalent Back Leg Red Meat (1 kg), Markets"
"148","Andorra",17.47,"Meal at an Inexpensive Restaurant, Restaurants"
"149","Andorra",52.4,"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks), Restaurants"
"150","Andorra",12.81,"Combo Meal at McDonald's (or Equivalent Fast-Food Meal), Restaurants"
"151","Andorra",3.49,"Domestic Draft Beer (0.5 Liter), Restaurants"
"152","Andorra",4.37,"Imported Beer (0.33 Liter Bottle), Restaurants"
"153","Andorra",2.52,"Soft Drink (Coca-Cola or Pepsi, 0.33 Liter Bottle), Restaurants"
"154","Andorra",1.83,"Bottled Water (0.33 Liter), Restaurants"
"155","Andorra",1.29,"Milk (Regular, 1 Liter), Markets"
"156","Andorra",1.4,"Fresh White Bread (500 g Loaf), Markets"
"157","Andorra",2.37,"Eggs (12, Large Size), Markets"
"158","Andorra",14.28,"Local Cheese (1 kg), Markets"
"159","Andorra",0.84,"Bottled Water (1.5 Liter), Markets"
"160","Andorra",5.82,"Bottle of Wine (Mid-Range), Markets"
"161","Andorra",1.38,"Domestic Beer (0.5 Liter Bottle), Markets"
"162","Andorra",1.31,"Imported Beer (0.33 Liter Bottle), Markets"
"163","Andorra",5.71,"Cigarettes (Pack of 20, Marlboro), Markets"
"164","Andorra",10.65,"Chicken Fillets (1 kg), Markets"
"165","Andorra",2.79,"Apples (1 kg), Markets"
"166","Andorra",2.03,"Oranges (1 kg), Markets"
"167","Andorra",2.08,"Potatoes (1 kg), Markets"
"168","Andorra",1.59,"Lettuce (1 Head), Markets"
"169","Andorra",2.69,"Cappuccino (Regular Size), Restaurants"
"170","Andorra",2.21,"White Rice (1 kg), Markets"
"171","Andorra",3.3,"Tomatoes (1 kg), Markets"
"172","Andorra",2.61,"Bananas (1 kg), Markets"
"173","Andorra",2.11,"Onions (1 kg), Markets"
"174","Andorra",14.1,"Beef Round or Equivalent Back Leg Red Meat (1 kg), Markets"
"175","Angola",5.95,"Meal at an Inexpensive Restaurant, Restaurants"
"176","Angola",40.97,"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks), Restaurants"
"177","Angola",8,"Combo Meal at McDonald's (or Equivalent Fast-Food Meal), Restaurants"
"178","Angola",1.81,"Domestic Draft Beer (0.5 Liter), Restaurants"
"179","Angola",1.76,"Imported Beer (0.33 Liter Bottle), Restaurants"
"180","Angola",1.41,"Soft Drink (Coca-Cola or Pepsi, 0.33 Liter Bottle), Restaurants"
"181","Angola",1.24,"Bottled Water (0.33 Liter), Restaurants"
"182","Angola",1.95,"Milk (Regular, 1 Liter), Markets"
"183","Angola",1.18,"Fresh White Bread (500 g Loaf), Markets"
"184","Angola",2.16,"Eggs (12, Large Size), Markets"
"185","Angola",12.49,"Local Cheese (1 kg), Markets"
"186","Angola",0.44,"Bottled Water (1.5 Liter), Markets"
"187","Angola",7.74,"Bottle of Wine (Mid-Range), Markets"
"188","Angola",0.58,"Domestic Beer (0.5 Liter Bottle), Markets"
"189","Angola",1.29,"Imported Beer (0.33 Liter Bottle), Markets"
"190","Angola",2.38,"Cigarettes (Pack of 20, Marlboro), Markets"
"191","Angola",4.39,"Chicken Fillets (1 kg), Markets"
"192","Angola",2.43,"Apples (1 kg), Markets"
"193","Angola",3.05,"Oranges (1 kg), Markets"
"194","Angola",1.79,"Potatoes (1 kg), Markets"
"195","Angola",1.99,"Lettuce (1 Head), Markets"
"196","Angola",3.64,"Cappuccino (Regular Size), Restaurants"
"197","Angola",1.41,"White Rice (1 kg), Markets"
"198","Angola",2.08,"Tomatoes (1 kg), Markets"
"199","Angola",1.16,"Bananas (1 kg), Markets"
"200","Angola",1.56,"Onions (1 kg), Markets"
"201","Angola",9.07,"Beef Round or Equivalent Back Leg Red Meat (1 kg), Markets"
"202","Anguilla",20,"Meal at an Inexpensive Restaurant, Restaurants"
"203","Anguilla",140,"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks), Restaurants"
"204","Anguilla",16,"Combo Meal at McDonald's (or Equivalent Fast-Food Meal), Restaurants"
"205","Anguilla",5,"Domestic Draft Beer (0.5 Liter), Restaurants"
"206","Anguilla",6,"Imported Beer (0.33 Liter Bottle), Restaurants"
"207","Anguilla",3.33,"Soft Drink (Coca-Cola or Pepsi, 0.33 Liter Bottle), Restaurants"
"208","Anguilla",4,"Bottled Water (0.33 Liter), Restaurants"
"209","Anguilla",2.23,"Milk (Regular, 1 Liter), Markets"
"210","Anguilla",3.31,"Fresh White Bread (500 g Loaf), Markets"
"211","Anguilla",4.8,"Eggs (12, Large Size), Markets"
"212","Anguilla",22.05,"Local Cheese (1 kg), Markets"
"213","Anguilla",3,"Bottled Water (1.5 Liter), Markets"
"214","Anguilla",23,"Bottle of Wine (Mid-Range), Markets"
"215","Anguilla",10,"Cigarettes (Pack of 20, Marlboro), Markets"
"216","Anguilla",13.06,"Chicken Fillets (1 kg), Markets"
"217","Anguilla",5,"Apples (1 kg), Markets"
"218","Anguilla",4,"Oranges (1 kg), Markets"
"219","Anguilla",4,"Potatoes (1 kg), Markets"
"220","Anguilla",4,"Lettuce (1 Head), Markets"
"221","Anguilla",5,"Cappuccino (Regular Size), Restaurants"
"222","Anguilla",4,"White Rice (1 kg), Markets"
"223","Anguilla",5,"Tomatoes (1 kg), Markets"
"224","Anguilla",3,"Bananas (1 kg), Markets"
"225","Anguilla",4,"Onions (1 kg), Markets"
"226","Anguilla",25,"Beef Round or Equivalent Back Leg Red Meat (1 kg), Markets"
"227","Antigua And Barbuda",9.25,"Meal at an Inexpensive Restaurant, Restaurants"
"228","Antigua And Barbuda",74,"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks), Restaurants"
"229","Antigua And Barbuda",9.25,"Combo Meal at McDonald's (or Equivalent Fast-Food Meal), Restaurants"
"230","Antigua And Barbuda",3.7,"Domestic Draft Beer (0.5 Liter), Restaurants"
"231","Antigua And Barbuda",4.44,"Imported Beer (0.33 Liter Bottle), Restaurants"
"232","Antigua And Barbuda",2.2,"Soft Drink (Coca-Cola or Pepsi, 0.33 Liter Bottle), Restaurants"
"233","Antigua And Barbuda",1.18,"Bottled Water (0.33 Liter), Restaurants"
"234","Antigua And Barbuda",2.96,"Milk (Regular, 1 Liter), Markets"
"235","Antigua And Barbuda",2.78,"Fresh White Bread (500 g Loaf), Markets"
"236","Antigua And Barbuda",7.55,"Eggs (12, Large Size), Markets"
"237","Antigua And Barbuda",8.91,"Local Cheese (1 kg), Markets"
"238","Antigua And Barbuda",1.67,"Bottled Water (1.5 Liter), Markets"
"239","Antigua And Barbuda",11.84,"Bottle of Wine (Mid-Range), Markets"
"240","Antigua And Barbuda",2.75,"Domestic Beer (0.5 Liter Bottle), Markets"
"241","Antigua And Barbuda",3.21,"Imported Beer (0.33 Liter Bottle), Markets"
"242","Antigua And Barbuda",7.4,"Cigarettes (Pack of 20, Marlboro), Markets"
"243","Antigua And Barbuda",8.51,"Chicken Fillets (1 kg), Markets"
"244","Antigua And Barbuda",6.74,"Apples (1 kg), Markets"
"245","Antigua And Barbuda",10.5,"Oranges (1 kg), Markets"
"246","Antigua And Barbuda",3.62,"Potatoes (1 kg), Markets"
"247","Antigua And Barbuda",3.82,"Lettuce (1 Head), Markets"
"248","Antigua And Barbuda",4.56,"Cappuccino (Regular Size), Restaurants"
"249","Antigua And Barbuda",3.95,"White Rice (1 kg), Markets"
"250","Antigua And Barbuda",6.42,"Tomatoes (1 kg), Markets"
"251","Antigua And Barbuda",3.9,"Bananas (1 kg), Markets"
"252","Antigua And Barbuda",2.65,"Onions (1 kg), Markets"
"253","Antigua And Barbuda",28.72,"Beef Round or Equivalent Back Leg Red Meat (1 kg), Markets"
"254","Argentina",12,"Meal at an Inexpensive Restaurant, Restaurants"
"255","Argentina",50,"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks), Restaurants"
"256","Argentina",11,"Combo Meal at McDonald's (or Equivalent Fast-Food Meal), Restaurants"
"257","Argentina",3,"Domestic Draft Beer (0.5 Liter), Restaurants"
"258","Argentina",3.5,"Imported Beer (0.33 Liter Bottle), Restaurants"
"259","Argentina",1.94,"Soft Drink (Coca-Cola or Pepsi, 0.33 Liter Bottle), Restaurants"
"260","Argentina",1.42,"Bottled Water (0.33 Liter), Restaurants"
"261","Argentina",1.39,"Milk (Regular, 1 Liter), Markets"
"262","Argentina",2.15,"Fresh White Bread (500 g Loaf), Markets"
"263","Argentina",2.77,"Eggs (12, Large Size), Markets"
"264","Argentina",10.07,"Local Cheese (1 kg), Markets"
"265","Argentina",1.53,"Bottled Water (1.5 Liter), Markets"
"266","Argentina",5,"Bottle of Wine (Mid-Range), Markets"
"267","Argentina",1.9,"Domestic Beer (0.5 Liter Bottle), Markets"
"268","Argentina",3.12,"Imported Beer (0.33 Liter Bottle), Markets"
"269","Argentina",3.5,"Cigarettes (Pack of 20, Marlboro), Markets"
"270","Argentina",7.09,"Chicken Fillets (1 kg), Markets"
"271","Argentina",2.26,"Apples (1 kg), Markets"
"272","Argentina",1.34,"Oranges (1 kg), Markets"
"273","Argentina",1.23,"Potatoes (1 kg), Markets"
"274","Argentina",1.74,"Lettuce (1 Head), Markets"
"275","Argentina",3.42,"Cappuccino (Regular Size), Restaurants"
"276","Argentina",2.06,"White Rice (1 kg), Markets"
"277","Argentina",2.48,"Tomatoes (1 kg), Markets"
"278","Argentina",2.09,"Bananas (1 kg), Markets"
"279","Argentina",1.13,"Onions (1 kg), Markets"
"280","Argentina",9.47,"Beef Round or Equivalent Back Leg Red Meat (1 kg), Markets"
"281","Armenia",10.49,"Meal at an Inexpensive Restaurant, Restaurants"
"282","Armenia",47.21,"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks), Restaurants"
"283","Armenia",7.93,"Combo Meal at McDonald's (or Equivalent Fast-Food Meal), Restaurants"
"284","Armenia",1.98,"Domestic Draft Beer (0.5 Liter), Restaurants"
"285","Armenia",3.15,"Imported Beer (0.33 Liter Bottle), Restaurants"
"286","Armenia",0.93,"Soft Drink (Coca-Cola or Pepsi, 0.33 Liter Bottle), Restaurants"
"287","Armenia",0.49,"Bottled Water (0.33 Liter), Restaurants"
"288","Armenia",1.56,"Milk (Regular, 1 Liter), Markets"
"289","Armenia",0.81,"Fresh White Bread (500 g Loaf), Markets"
"290","Armenia",2.25,"Eggs (12, Large Size), Markets"
"291","Armenia",7.71,"Local Cheese (1 kg), Markets"
"292","Armenia",0.69,"Bottled Water (1.5 Liter), Markets"
"293","Armenia",10.49,"Bottle of Wine (Mid-Range), Markets"
"294","Armenia",1.36,"Domestic Beer (0.5 Liter Bottle), Markets"
"295","Armenia",2.16,"Imported Beer (0.33 Liter Bottle), Markets"
"296","Armenia",2.62,"Cigarettes (Pack of 20, Marlboro), Markets"
"297","Armenia",7.53,"Chicken Fillets (1 kg), Markets"
"298","Armenia",1.3,"Apples (1 kg), Markets"
"299","Armenia",1.77,"Oranges (1 kg), Markets"
"300","Armenia",0.78,"Potatoes (1 kg), Markets"
"301","Armenia",0.94,"Lettuce (1 Head), Markets"
"302","Armenia",3.11,"Cappuccino (Regular Size), Restaurants"
"303","Armenia",2.29,"White Rice (1 kg), Markets"
"304","Armenia",2.11,"Tomatoes (1 kg), Markets"
"305","Armenia",1.67,"Bananas (1 kg), Markets"
"306","Armenia",0.74,"Onions (1 kg), Markets"
"307","Armenia",12.01,"Beef Round or Equivalent Back Leg Red Meat (1 kg), Markets"
"308","Aruba",16.82,"Meal at an Inexpensive Restaurant, Restaurants"
"309","Aruba",90,"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks), Restaurants"
"310","Aruba",10,"Combo Meal at McDonald's (or Equivalent Fast-Food Meal), Restaurants"
"311","Aruba",5,"Domestic Draft Beer (0.5 Liter), Restaurants"
"312","Aruba",7,"Imported Beer (0.33 Liter Bottle), Restaurants"
"313","Aruba",2.07,"Soft Drink (Coca-Cola or Pepsi, 0.33 Liter Bottle), Restaurants"
"314","Aruba",1.74,"Bottled Water (0.33 Liter), Restaurants"
"315","Aruba",1.96,"Milk (Regular, 1 Liter), Markets"
"316","Aruba",2.96,"Fresh White Bread (500 g Loaf), Markets"
"317","Aruba",5.14,"Eggs (12, Large Size), Markets"
"318","Aruba",12.88,"Local Cheese (1 kg), Markets"
"319","Aruba",2.24,"Bottled Water (1.5 Liter), Markets"
"320","Aruba",10,"Bottle of Wine (Mid-Range), Markets"
"321","Aruba",4.54,"Domestic Beer (0.5 Liter Bottle), Markets"
"322","Aruba",4.61,"Imported Beer (0.33 Liter Bottle), Markets"
"323","Aruba",10.26,"Cigarettes (Pack of 20, Marlboro), Markets"
"324","Aruba",7.76,"Chicken Fillets (1 kg), Markets"
"325","Aruba",4.77,"Apples (1 kg), Markets"
"326","Aruba",6.58,"Oranges (1 kg), Markets"
"327","Aruba",2.81,"Potatoes (1 kg), Markets"
"328","Aruba",3.67,"Lettuce (1 Head), Markets"
"329","Aruba",4.75,"Cappuccino (Regular Size), Restaurants"
"330","Aruba",3.32,"White Rice (1 kg), Markets"
"331","Aruba",5.81,"Tomatoes (1 kg), Markets"
"332","Aruba",2.62,"Bananas (1 kg), Markets"
"333","Aruba",2.59,"Onions (1 kg), Markets"
"334","Aruba",11.54,"Beef Round or Equivalent Back Leg Red Meat (1 kg), Markets"
"335","Australia",16.52,"Meal at an Inexpensive Restaurant, Restaurants"
"336","Australia",79.3,"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks), Restaurants"
"337","Australia",9.91,"Combo Meal at McDonald's (or Equivalent Fast-Food Meal), Restaurants"
"338","Australia",6.61,"Domestic Draft Beer (0.5 Liter), Restaurants"
"339","Australia",7.27,"Imported Beer (0.33 Liter Bottle), Restaurants"
"340","Australia",2.68,"Soft Drink (Coca-Cola or Pepsi, 0.33 Liter Bottle), Restaurants"
"341","Australia",2.21,"Bottled Water (0.33 Liter), Restaurants"
"342","Australia",1.62,"Milk (Regular, 1 Liter), Markets"
"343","Australia",2.55,"Fresh White Bread (500 g Loaf), Markets"
"344","Australia",4.63,"Eggs (12, Large Size), Markets"
"345","Australia",9.14,"Local Cheese (1 kg), Markets"
"346","Australia",1.58,"Bottled Water (1.5 Liter), Markets"
"347","Australia",13.22,"Bottle of Wine (Mid-Range), Markets"
"348","Australia",4.54,"Domestic Beer (0.5 Liter Bottle), Markets"
"349","Australia",4.93,"Imported Beer (0.33 Liter Bottle), Markets"
"350","Australia",33.04,"Cigarettes (Pack of 20, Marlboro), Markets"
"351","Australia",8.57,"Chicken Fillets (1 kg), Markets"
"352","Australia",3.28,"Apples (1 kg), Markets"
"353","Australia",3,"Oranges (1 kg), Markets"
"354","Australia",2.57,"Potatoes (1 kg), Markets"
"355","Australia",2.31,"Lettuce (1 Head), Markets"
"356","Australia",3.64,"Cappuccino (Regular Size), Restaurants"
"357","Australia",2.06,"White Rice (1 kg), Markets"
"358","Australia",4.57,"Tomatoes (1 kg), Markets"
"359","Australia",2.81,"Bananas (1 kg), Markets"
"360","Australia",2.2,"Onions (1 kg), Markets"
"361","Australia",13.92,"Beef Round or Equivalent Back Leg Red Meat (1 kg), Markets"
"362","Austria",17.47,"Meal at an Inexpensive Restaurant, Restaurants"
"363","Austria",81.51,"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks), Restaurants"
"364","Austria",12.81,"Combo Meal at McDonald's (or Equivalent Fast-Food Meal), Restaurants"
"365","Austria",5.82,"Domestic Draft Beer (0.5 Liter), Restaurants"
"366","Austria",5.24,"Imported Beer (0.33 Liter Bottle), Restaurants"
"367","Austria",3.95,"Soft Drink (Coca-Cola or Pepsi, 0.33 Liter Bottle), Restaurants"
"368","Austria",3.06,"Bottled Water (0.33 Liter), Restaurants"
"369","Austria",1.73,"Milk (Regular, 1 Liter), Markets"
"370","Austria",2.99,"Fresh White Bread (500 g Loaf), Markets"
"371","Austria",4.8,"Eggs (12, Large Size), Markets"
"372","Austria",20.5,"Local Cheese (1 kg), Markets"
"373","Austria",0.93,"Bottled Water (1.5 Liter), Markets"
"374","Austria",8.15,"Bottle of Wine (Mid-Range), Markets"
"375","Austria",1.53,"Domestic Beer (0.5 Liter Bottle), Markets"
"376","Austria",2.1,"Imported Beer (0.33 Liter Bottle), Markets"
"377","Austria",7.57,"Cigarettes (Pack of 20, Marlboro), Markets"
"378","Austria",14.94,"Chicken Fillets (1 kg), Markets"
"379","Austria",3.08,"Apples (1 kg), Markets"
"380","Austria",3.23,"Oranges (1 kg), Markets"
"381","Austria",2.34,"Potatoes (1 kg), Markets"
"382","Austria",2.01,"Lettuce (1 Head), Markets"
"383","Austria",4.72,"Cappuccino (Regular Size), Restaurants"
"384","Austria",2.65,"White Rice (1 kg), Markets"
"385","Austria",4.59,"Tomatoes (1 kg), Markets"
"386","Austria",2.48,"Bananas (1 kg), Markets"
"387","Austria",2.16,"Onions (1 kg), Markets"
"388","Austria",23.33,"Beef Round or Equivalent Back Leg Red Meat (1 kg), Markets"
"389","Azerbaijan",8.82,"Meal at an Inexpensive Restaurant, Restaurants"
"390","Azerbaijan",35.29,"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks), Restaurants"
"391","Azerbaijan",7.65,"Combo Meal at McDonald's (or Equivalent Fast-Food Meal), Restaurants"
